Name,Source,Size,Type,Alignment,AC,HP,Speed,STR,DEX,CON,INT,WIS,CHA,Save,Skill,Passive Perception,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Spellcasting
Cultist,XMM,"[""S"", ""M""]",humanoid,"[""N""]",[12],"{""average"": 9, ""formula"": ""2d8""}","{""walk"": 30}",11,12,10,10,11,10,"{""wis"": ""+2""}","{""deception"": ""+2"", ""religion"": ""+2""}",10,"[""Common""]",1/8,,"[{""name"": ""Ritual Sickle"", ""entries"": [""{@atkr m} {@hit 3}, reach 5 ft. {@h}3 ({@damage 1d4 + 1}) Slashing damage plus 1 Necrotic damage.""]}]",,,,
Cultist Fanatic,XMM,"[""S"", ""M""]",humanoid,"[""N""]",[13],"{""average"": 44, ""formula"": ""8d8 + 8""}","{""walk"": 30}",11,14,12,10,14,13,"{""wis"": ""+4""}","{""deception"": ""+3"", ""persuasion"": ""+3"", ""religion"": ""+2""}",12,"[""Common""]",2,,"[{""name"": ""Pact Blade"", ""entries"": [""{@atkr m} {@hit 4}, reach 5 ft. {@h}6 ({@damage 1d8 + 2}) Slashing damage plus 7 ({@damage 2d6}) Necrotic damage.""]}]",,,,"[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The cultist casts one of the following spells, using Wisdom as the spellcasting ability (spell save {@dc 12}, {@hit 4} to hit with spell attacks):""], ""will"": [""{@spell Light|XPHB}"", ""{@spell Thaumaturgy|XPHB}""], ""daily"": {""1"": [""{@spell Hold Person|XPHB}""], ""2"": [""{@spell Command|XPHB}""]}, ""ability"": ""wis"", ""displayAs"": ""action""}, {""name"": ""Spiritual Weapon (2/Day)"", ""type"": ""spellcasting"", ""headerEntries"": [""The cultist casts the {@spell Spiritual Weapon|XPHB} spell, using the same spellcasting ability as Spellcasting.""], ""daily"": {""2"": [""{@spell Spiritual Weapon|XPHB}""]}, ""ability"": ""wis"", ""displayAs"": ""bonus"", ""hidden"": [""daily""]}]"
Darkmantle,XMM,"[""S""]",aberration,"[""U""]",[11],"{""average"": 22, ""formula"": ""5d6 + 5""}","{""walk"": 10, ""fly"": 30}",16,12,13,2,10,5,,"{""stealth"": ""+3""}",10,,1/2,,"[{""name"": ""Crush"", ""entries"": [""{@atkr m} {@hit 5}, reach 5 ft. {@h}6 ({@damage 1d6 + 3}) Bludgeoning damage, and the darkmantle attaches to the target. If the target is a Medium or smaller creature and the darkmantle had {@variantrule Advantage|XPHB} on the attack roll, it covers the target, which has the {@condition Blinded|XPHB} condition and is suffocating while the darkmantle is attached in this way."", ""While attached to a target, the darkmantle can attack only the target but has {@variantrule Advantage|XPHB} on its attack rolls. Its {@variantrule Speed|XPHB} becomes 0, it can't benefit from any bonus to its {@variantrule Speed|XPHB}, and it moves with the target."", ""A creature can take an action to try to detach the darkmantle from itself, doing so with a successful {@dc 13} Strength ({@skill Athletics|XPHB}) check. On its turn, the darkmantle can detach itself by using 5 feet of movement.""]}, {""name"": ""Darkness Aura (1/Day)"", ""entries"": [""Magical {@variantrule Darkness|XPHB} fills a 15-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation} originating from the darkmantle. This effect lasts while the darkmantle maintains {@status Concentration|XPHB} on it, up to 10 minutes. Darkvision can't penetrate this area, and no light can illuminate it.""]}]",,,,
Death Dog,XMM,"[""M""]",monstrosity,"[""N"", ""E""]",[12],"{""average"": 39, ""formula"": ""6d8 + 12""}","{""walk"": 40}",15,14,14,3,13,6,,"{""perception"": ""+5"", ""stealth"": ""+4""}",15,,1,,"[{""name"": ""Multiattack"", ""entries"": [""The death dog makes two Bite attacks.""]}, {""name"": ""Bite"", ""entries"": [""{@atkr m} {@hit 4}, reach 5 ft. {@h}4 ({@damage 1d4 + 2}) Piercing damage. If the target is a creature, it is subjected to the following effect. {@actSave con} {@dc 12}. {@actSaveFail 1} The target has the {@condition Poisoned|XPHB} condition. While {@condition Poisoned|XPHB}, the target's {@variantrule Hit Points|XPHB|Hit Point} maximum doesn't return to normal when finishing a {@variantrule Long Rest|XPHB}, and it repeats the save every 24 hours that elapse, ending the effect on itself on a success. Subsequent Failures: The {@condition Poisoned|XPHB} target's {@variantrule Hit Points|XPHB|Hit Point} maximum decreases by 5 ({@dice 1d10}).""]}]",,,,
Deer,XMM,"[""M""]",beast,"[""U""]",[13],"{""average"": 4, ""formula"": ""1d8""}","{""walk"": 50}",11,16,11,2,14,5,,"{""perception"": ""+4""}",14,,0,"[{""name"": ""Agile"", ""entries"": [""The deer doesn't provoke an Opportunity Attack when it moves out of an enemy's reach.""]}]","[{""name"": ""Ram"", ""entries"": [""{@atkr m} {@hit 2}, reach 5 ft. {@h}2 ({@damage 1d4}) Bludgeoning damage.""]}]",,,,
Deva,XMM,"[""M""]","{""type"": ""celestial"", ""tags"": [""angel""]}","[""L"", ""G""]",[17],"{""average"": 229, ""formula"": ""27d8 + 108""}","{""walk"": 30, ""fly"": {""number"": 90, ""condition"": ""(hover)""}, ""canHover"": true}",18,18,18,17,20,20,"{""wis"": ""+9"", ""cha"": ""+9""}","{""insight"": ""+9"", ""perception"": ""+9""}",19,"[""all; telepathy 120 ft.""]",10,"[{""name"": ""Exalted Restoration"", ""entries"": [""If the deva dies outside Mount Celestia, its body disappears, and it gains a new body instantly, reviving with all its {@variantrule Hit Points|XPHB} somewhere in Mount Celestia.""]}, {""name"": ""Magic Resistance"", ""entries"": [""The deva has {@variantrule Advantage|XPHB} on saving throws against spells and other magical effects.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The deva makes two Holy Mace attacks.""]}, {""name"": ""Holy Mace"", ""entries"": [""{@atkr m} {@hit 8}, reach 5 ft. {@h}7 ({@damage 1d6 + 4}) Bludgeoning damage plus 18 ({@damage 4d8}) Radiant damage.""]}]",,,,"[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The deva casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 17}):""], ""will"": [""{@spell Detect Evil and Good|XPHB}"", ""{@spell Shapechange|XPHB} (Beast or Humanoid form only, no {@variantrule Temporary Hit Points|XPHB} gained from the spell, and no Concentration or {@variantrule Temporary Hit Points|XPHB} required to maintain the spell)""], ""daily"": {""1e"": [""{@spell Commune|XPHB}"", ""{@spell Raise Dead|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}, {""name"": ""Divine Aid (2/Day)"", ""type"": ""spellcasting"", ""headerEntries"": [""The deva casts {@spell Cure Wounds|XPHB}, {@spell Lesser Restoration|XPHB}, or {@spell Remove Curse|XPHB}, using the same spellcasting ability as Spellcasting.""], ""daily"": {""2"": [""{@spell Cure Wounds|XPHB}"", ""{@spell Lesser Restoration|XPHB}"", ""{@spell Remove Curse|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""bonus"", ""hidden"": [""daily""]}]"
Dire Wolf,XMM,"[""L""]",beast,"[""U""]",[14],"{""average"": 22, ""formula"": ""3d10 + 6""}","{""walk"": 50}",17,15,15,3,12,7,,"{""perception"": ""+5"", ""stealth"": ""+4""}",15,,1,"[{""name"": ""Pack Tactics"", ""entries"": [""The wolf has {@variantrule Advantage|XPHB} on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally doesn't have the {@condition Incapacitated|XPHB} condition.""]}]","[{""name"": ""Bite"", ""entries"": [""{@atkr m} {@hit 5}, reach 5 ft. {@h}8 ({@damage 1d10 + 3}) Piercing damage. If the target is a Large or smaller creature, it has the {@condition Prone|XPHB} condition.""]}]",,,,
Djinni,XMM,"[""L""]","{""type"": ""elemental"", ""tags"": [""genie""]}","[""C"", ""G""]",[17],"{""average"": 218, ""formula"": ""19d10 + 114""}","{""walk"": 30, ""fly"": {""number"": 90, ""condition"": ""(hover)""}, ""canHover"": true}",21,15,22,15,16,20,"{""dex"": ""+6"", ""wis"": ""+7""}",,13,"[""Primordial (Auran)""]",11,"[{""name"": ""Elemental Restoration"", ""entries"": [""If the djinni dies outside the Elemental Plane of Air, its body dissolves into mist, and it gains a new body in {@dice 1d4} days, reviving with all its {@variantrule Hit Points|XPHB} somewhere on the Plane of Air.""]}, {""name"": ""Magic Resistance"", ""entries"": [""The djinni has {@variantrule Advantage|XPHB} on saving throws against spells and other magical effects.""]}, {""name"": ""Wishes"", ""entries"": [""The djinni has a 30 percent chance of knowing the {@spell Wish|XPHB} spell. If the djinni knows it, the djinni can cast it only on behalf of a non-genie creature who communicates a wish in a way the djinni can understand. If the djinni casts the spell for the creature, the djinni suffers none of the spell's stress. Once the djinni has cast it three times, the djinni can't do so again for 365 days.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The djinni makes three attacks, using Storm Blade or Storm Bolt in any combination.""]}, {""name"": ""Storm Blade"", ""entries"": [""{@atkr m} {@hit 9}, reach 5 feet. {@h}12 ({@damage 2d6 + 5}) Slashing damage plus 7 ({@damage 2d6}) Lightning damage.""]}, {""name"": ""Storm Bolt"", ""entries"": [""{@atkr r} {@hit 9}, range 120 feet. {@h}13 ({@damage 3d8}) Thunder damage. If the target is a Large or smaller creature, it has the {@condition Prone|XPHB} condition.""]}, {""name"": ""Create Whirlwind"", ""entries"": [""The djinni conjures a whirlwind at a point it can see within 120 feet. The whirlwind fills a 20-foot-radius, 60-foot-high {@variantrule Cylinder [Area of Effect]|XPHB|Cylinder} centered on that point. The whirlwind lasts until the djinni's {@status Concentration|XPHB} on it ends. The djinni can move the whirlwind up to 20 feet at the start of each of its turns."", ""Whenever the whirlwind enters a creature's space or a creature enters the whirlwind, that creature is subjected to the following effect. {@actSave str} {@dc 17} (a creature makes this save only once per turn, and the djinni is unaffected). {@actSaveFail} While in the whirlwind, the target has the {@condition Restrained|XPHB} condition and moves with the whirlwind. At the start of each of its turns, the {@condition Restrained|XPHB} target takes 21 ({@damage 6d6}) Thunder damage. At the end of each of its turns, the target repeats the save, ending the effect on itself on a success.""]}]",,,,"[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The djinni casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 17}):""], ""will"": [""{@spell Detect Evil and Good|XPHB}"", ""{@spell Detect Magic|XPHB}""], ""daily"": {""2e"": [""{@spell Create Food and Water|XPHB} (can create wine instead of water)"", ""{@spell Tongues|XPHB}"", ""{@spell Wind Walk|XPHB}""], ""1e"": [""{@spell Creation|XPHB}"", ""{@spell Gaseous Form|XPHB}"", ""{@spell Invisibility|XPHB}"", ""{@spell Major Image|XPHB}"", ""{@spell Plane Shift|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Doppelganger,XMM,"[""M""]",monstrosity,"[""N""]",[14],"{""average"": 52, ""formula"": ""8d8 + 16""}","{""walk"": 30}",11,18,14,11,12,14,,"{""deception"": ""+6"", ""insight"": ""+3""}",11,"[""Common plus three other languages""]",3,,"[{""name"": ""Multiattack"", ""entries"": [""The doppelganger makes two Slam attacks and uses Unsettling Visage if available.""]}, {""name"": ""Slam"", ""entries"": [""{@atkr m} {@hit 6} (with {@variantrule Advantage|XPHB} during the first round of each combat), reach 5 ft. {@h}11 ({@damage 2d6 + 4}) Bludgeoning damage.""]}, {""name"": ""Unsettling Visage {@recharge}"", ""entries"": [""{@actSave wis} {@dc 12}, each creature in a 15-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation} originating from the doppelganger that can see the doppelganger. {@actSaveFail} The target has the {@condition Frightened|XPHB} condition and repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.""]}]","[{""name"": ""Shape-Shift"", ""entries"": [""The doppelganger shape-shifts into a Medium or Small Humanoid, or it returns to its true form. Its game statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed.""]}]",,,"[{""name"": ""Read Thoughts"", ""type"": ""spellcasting"", ""headerEntries"": [""The doppelganger casts {@spell Detect Thoughts|XPHB}, requiring no spell components and using Charisma as the spellcasting ability (spell save {@dc 12}).""], ""will"": [""{@spell Detect Thoughts|XPHB}""], ""ability"": ""cha"", ""displayAs"": ""action"", ""hidden"": [""will""]}]"
Draft Horse,XMM,"[""L""]",beast,"[""U""]",[10],"{""average"": 15, ""formula"": ""2d10 + 4""}","{""walk"": 40}",18,10,15,2,11,7,,,10,,1/4,,"[{""name"": ""Hooves"", ""entries"": [""{@atkr m} {@hit 6}, reach 5 ft. {@h}6 ({@damage 1d4 + 4}) Bludgeoning damage.""]}]",,,,
Dragon Turtle,XMM,"[""G""]",dragon,"[""N""]",[20],"{""average"": 356, ""formula"": ""23d20 + 115""}","{""walk"": 20, ""swim"": 50}",25,10,20,10,12,12,"{""con"": ""+11"", ""wis"": ""+7""}",,11,"[""Draconic"", ""Primordial (Aquan)""]",17,"[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Bite attacks. It can replace one attack with a Tail attack.""]}, {""name"": ""Bite"", ""entries"": [""{@atkr m} {@hit 13}, reach 15 ft. {@h}23 ({@damage 3d10 + 7}) Piercing damage plus 7 ({@damage 2d6}) Fire damage. Being underwater doesn't grant {@variantrule Resistance|XPHB} to this Fire damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atkr m} {@hit 13}, reach 15 ft. {@h}18 ({@damage 2d10 + 7}) Bludgeoning damage. If the target is a Huge or smaller creature, it has the {@condition Prone|XPHB} condition.""]}, {""name"": ""Steam Breath {@recharge 5}"", ""entries"": [""{@actSave con} {@dc 19}, each creature in a 60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} 56 ({@damage 16d6}) Fire damage. {@actSaveSuccess} Half damage. {@actSaveSuccessOrFail} Being underwater doesn't grant {@variantrule Resistance|XPHB} to this Fire damage.""]}]",,,,
Dretch,XMM,"[""S""]","{""type"": ""fiend"", ""tags"": [""demon""]}","[""C"", ""E""]",[11],"{""average"": 18, ""formula"": ""4d6 + 4""}","{""walk"": 20}",12,11,12,5,8,3,,,9,"[""Abyssal; telepathy 60 ft. (works only with creatures that understand Abyssal)""]",1/4,,"[{""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 3}, reach 5 ft. {@h}4 ({@damage 1d6 + 1}) Slashing damage.""]}, {""name"": ""Fetid Cloud (1/Day)"", ""entries"": [""{@actSave con} {@dc 11}, each creature in a 10-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation} originating from the dretch. {@actSaveFail} The target has the {@condition Poisoned|XPHB} condition until the end of its next turn. While {@condition Poisoned|XPHB}, the creature can take either an action or a {@variantrule Bonus Action|XPHB} on its turn, not both, and it can't take Reactions.""]}]",,,,
Drider,XMM,"[""L""]",monstrosity,"[""C"", ""E""]",[19],"{""average"": 123, ""formula"": ""13d10 + 52""}","{""walk"": 30, ""climb"": 30}",16,19,18,13,16,12,,"{""perception"": ""+6"", ""stealth"": ""+10""}",16,"[""Elvish"", ""Undercommon""]",6,"[{""name"": ""Spider Climb"", ""entries"": [""The drider can climb difficult surfaces, including along ceilings, without needing to make an ability check.""]}, {""name"": ""Sunlight Sensitivity"", ""entries"": [""While in sunlight, the drider has {@variantrule Disadvantage|XPHB} on ability checks and attack rolls.""]}, {""name"": ""Web Walker"", ""entries"": [""The drider ignores movement restrictions caused by webs, and the drider knows the location of any other creature in contact with the same web.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The drider makes three attacks, using Foreleg or Poison Burst in any combination.""]}, {""name"": ""Foreleg"", ""entries"": [""{@atkr m} {@hit 7}, reach 10 ft. {@h}13 ({@damage 2d8 + 4}) Piercing damage.""]}, {""name"": ""Poison Burst"", ""entries"": [""{@atkr r} {@hit 6}, range 120 ft. {@h}13 ({@damage 3d6 + 3}) Poison damage.""]}]",,,,"[{""name"": ""Magic of the Spider Queen {@recharge 5}"", ""type"": ""spellcasting"", ""headerEntries"": [""The drider casts {@spell Darkness|XPHB}, {@spell Faerie Fire|XPHB}, or {@spell Web|XPHB}, requiring no Material components and using Wisdom as the spellcasting ability (spell save {@dc 14}).""], ""recharge"": {""5"": [""{@spell Darkness|XPHB}"", ""{@spell Faerie Fire|XPHB}"", ""{@spell Web|XPHB}""]}, ""ability"": ""wis"", ""displayAs"": ""bonus"", ""hidden"": [""recharge""]}]"
Druid,XMM,"[""S"", ""M""]",humanoid,"[""N""]",[13],"{""average"": 44, ""formula"": ""8d8 + 8""}","{""walk"": 30}",10,12,13,12,16,11,,"{""medicine"": ""+5"", ""nature"": ""+3"", ""perception"": ""+5""}",15,"[""Common"", ""Druidic"", ""Sylvan""]",2,,"[{""name"": ""Multiattack"", ""entries"": [""The druid makes two attacks, using Vine Staff or Verdant Wisp in any combination.""]}, {""name"": ""Vine Staff"", ""entries"": [""{@atkr m} {@hit 5}, reach 5 ft. {@h}7 ({@damage 1d8 + 3}) Bludgeoning damage plus 2 ({@damage 1d4}) Poison damage.""]}, {""name"": ""Verdant Wisp"", ""entries"": [""{@atkr r} {@hit 5}, range 90 ft. {@h}10 ({@damage 3d6}) Radiant damage.""]}]",,,,"[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The druid casts one of the following spells, using Wisdom as the spellcasting ability (spell save {@dc 13}):""], ""will"": [""{@spell Druidcraft|XPHB}"", ""{@spell Speak with Animals|XPHB}""], ""daily"": {""2e"": [""{@spell Entangle|XPHB}"", ""{@spell Thunderwave|XPHB}""], ""1e"": [""{@spell Animal Messenger|XPHB}"", ""{@spell Longstrider|XPHB}"", ""{@spell Moonbeam|XPHB}""]}, ""ability"": ""wis"", ""displayAs"": ""action""}]"
Dryad,XMM,"[""M""]",fey,"[""N""]",[16],"{""average"": 22, ""formula"": ""5d8""}","{""walk"": 30}",10,12,11,14,15,18,,"{""perception"": ""+4"", ""stealth"": ""+5""}",14,"[""Elvish"", ""Sylvan""]",1,"[{""name"": ""Magic Resistance"", ""entries"": [""The dryad has {@variantrule Advantage|XPHB} on saving throws against spells and other magical effects.""]}, {""name"": ""Speak with Beasts and Plants"", ""entries"": [""The dryad can communicate with Beasts and Plants as if they shared a language.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dryad makes one Vine Lash or Thorn Burst attack, and it can use Spellcasting to cast {@spell Charm Monster|XPHB}.""]}, {""name"": ""Vine Lash"", ""entries"": [""{@atkr m} {@hit 6}, reach 10 ft. {@h}8 ({@damage 1d8 + 4}) Slashing damage.""]}, {""name"": ""Thorn Burst"", ""entries"": [""{@atkr r} {@hit 6}, range 60 ft. {@h}7 ({@damage 1d6 + 4}) Piercing damage.""]}]","[{""name"": ""Tree Stride"", ""entries"": [""If within 5 feet of a Large or bigger tree, the dryad teleports to an unoccupied space within 5 feet of a second Large or bigger tree that is within 60 feet of the previous tree.""]}]",,,"[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dryad casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 14}):""], ""will"": [""{@spell Animal Friendship|XPHB}"", ""{@spell Charm Monster|XPHB} (lasts 24 hours; ends early if the dryad casts the spell again)"", ""{@spell Druidcraft|XPHB}""], ""daily"": {""1e"": [""{@spell Entangle|XPHB}"", ""{@spell Pass without Trace|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Dust Mephit,XMM,"[""S""]",elemental,"[""N"", ""E""]",[12],"{""average"": 17, ""formula"": ""5d6""}","{""walk"": 30, ""fly"": 30}",5,14,10,9,11,10,,"{""perception"": ""+2"", ""stealth"": ""+4""}",12,"[""Primordial (Auran, Terran)""]",1/2,"[{""name"": ""Death Burst"", ""entries"": [""The mephit explodes when it dies. {@actSave dex} {@dc 10}, each creature in a 5-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation} originating from the mephit. {@actSaveFail} 5 ({@damage 2d4}) Bludgeoning damage. {@actSaveSuccess} Half damage.""]}]","[{""name"": ""Claw"", ""entries"": [""{@atkr m} {@hit 4}, reach 5 ft. {@h}4 ({@damage 1d4 + 2}) Slashing damage.""]}, {""name"": ""Blinding Breath {@recharge}"", ""entries"": [""{@actSave dex} {@dc 10}, each creature in a 15-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} The target has the {@condition Blinded|XPHB} condition until the end of the mephit's next turn.""]}]",,,,"[{""name"": ""Sleep (1/Day)"", ""type"": ""spellcasting"", ""headerEntries"": [""The mephit casts the {@spell Sleep|XPHB} spell, requiring no spell components and using Charisma as the spellcasting ability (spell save {@dc 10}).""], ""daily"": {""1"": [""{@spell Sleep|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action"", ""hidden"": [""daily""]}]"
Eagle,XMM,"[""S""]",beast,"[""U""]",[12],"{""average"": 4, ""formula"": ""1d6 + 1""}","{""walk"": 10, ""fly"": 60}",6,15,12,2,14,7,,"{""perception"": ""+6""}",16,,0,,"[{""name"": ""Talons"", ""entries"": [""{@atkr m} {@hit 4}, reach 5 feet. {@h}4 ({@damage 1d4 + 2}) Slashing damage.""]}]",,,,
Earth Elemental,XMM,"[""L""]",elemental,"[""N""]",[17],"{""average"": 147, ""formula"": ""14d10 + 70""}","{""walk"": 30, ""burrow"": 30}",20,8,20,5,10,5,,,10,"[""Primordial (Terran)""]",5,"[{""name"": ""Earth Glide"", ""entries"": [""The elemental can burrow through nonmagical, unworked earth and stone. While doing so, the elemental doesn't disturb the material it moves through.""]}, {""name"": ""Siege Monster"", ""entries"": [""The elemental deals double damage to objects and structures.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The elemental makes two attacks, using Slam or Rock Launch in any combination.""]}, {""name"": ""Slam"", ""entries"": [""{@atkr m} {@hit 8}, reach 10 ft. {@h}14 ({@damage 2d8 + 5}) Bludgeoning damage.""]}, {""name"": ""Rock Launch"", ""entries"": [""{@atkr r} {@hit 8}, range 60 ft. {@h}8 ({@damage 1d6 + 5}) Bludgeoning damage. If the target is a Large or smaller creature, it has the {@condition Prone|XPHB} condition.""]}]",,,,
Efreeti,XMM,"[""L""]","{""type"": ""elemental"", ""tags"": [""genie""]}","[""N""]",[17],"{""average"": 212, ""formula"": ""17d10 + 119""}","{""walk"": 40, ""fly"": {""number"": 60, ""condition"": ""(hover)""}, ""canHover"": true}",22,12,24,16,15,19,"{""wis"": ""+6"", ""cha"": ""+8""}",,12,"[""Primordial (Ignan)""]",11,"[{""name"": ""Elemental Restoration"", ""entries"": [""If the efreeti dies outside the Elemental Plane of Fire, its body dissolves into ash, and it gains a new body in {@dice 1d4} days, reviving with all its {@variantrule Hit Points|XPHB} somewhere on the Plane of Fire.""]}, {""name"": ""Magic Resistance"", ""entries"": [""The efreeti has {@variantrule Advantage|XPHB} on saving throws against spells and other magical effects.""]}, {""name"": ""Wishes"", ""entries"": [""The efreeti has a 30 percent chance of knowing the {@spell Wish|XPHB} spell. If the efreeti knows it, the efreeti can cast it only on behalf of a non-genie creature who communicates a wish in a way the efreeti can understand. If the efreeti casts the spell for the creature, the efreeti suffers none of the spell's stress. Once the efreeti has cast it three times, the efreeti can't do so again for 365 days.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The efreeti makes three attacks, using Heated Blade or Hurl Flame in any combination.""]}, {""name"": ""Heated Blade"", ""entries"": [""{@atkr m} {@hit 10}, reach 5 ft. {@h}13 ({@damage 2d6 + 6}) Slashing damage plus 13 ({@damage 2d12}) Fire damage.""]}, {""name"": ""Hurl Flame"", ""entries"": [""{@atkr r} {@hit 8}, range 120 ft. {@h}24 ({@damage 7d6}) Fire damage.""]}]",,,,"[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The efreeti casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 16}):""], ""will"": [""{@spell Detect Magic|XPHB}"", ""{@spell Elementalism|XPHB}""], ""daily"": {""1e"": [""{@spell Gaseous Form|XPHB}"", ""{@spell Invisibility|XPHB}"", ""{@spell Major Image|XPHB}"", ""{@spell Plane Shift|XPHB}"", ""{@spell Tongues|XPHB}"", ""{@spell Wall of Fire|XPHB} (level 7 version)""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Elephant,XMM,"[""H""]",beast,"[""U""]",[12],"{""average"": 76, ""formula"": ""8d12 + 24""}","{""walk"": 40}",22,9,17,3,11,6,,,10,,4,,"[{""name"": ""Multiattack"", ""entries"": [""The elephant makes two Gore attacks.""]}, {""name"": ""Gore"", ""entries"": [""{@atkr m} {@hit 8}, reach 5 ft. {@h}15 ({@damage 2d8 + 6}) Piercing damage. If the target is a Huge or smaller creature and the elephant moved 20+ feet straight toward it immediately before the hit, the target has the {@condition Prone|XPHB} condition.""]}]","[{""name"": ""Trample"", ""entries"": [""{@actSave dex} {@dc 16}, one creature within 5 feet that has the {@condition Prone|XPHB} condition. {@actSaveFail} 17 ({@damage 2d10 + 6}) Bludgeoning damage. {@actSaveSuccess} Half damage.""]}]",,,
Elk,XMM,"[""L""]",beast,"[""U""]",[10],"{""average"": 11, ""formula"": ""2d10""}","{""walk"": 50}",16,10,11,2,10,6,,"{""perception"": ""+2""}",12,,1/4,,"[{""name"": ""Ram"", ""entries"": [""{@atkr m} {@hit 5}, reach 5 ft. {@h}6 ({@damage 1d6 + 3}) Bludgeoning damage. If the target is a Large or smaller creature and the elk moved 20+ feet straight toward it immediately before the hit, the target takes an extra 3 ({@damage 1d6}) Bludgeoning damage and has the {@condition Prone|XPHB} condition.""]}]",,,,
Erinyes,XMM,"[""M""]","{""type"": ""fiend"", ""tags"": [""devil""]}","[""L"", ""E""]",[18],"{""average"": 178, ""formula"": ""21d8 + 84""}","{""walk"": 30, ""fly"": 60}",18,16,18,14,14,18,"{""dex"": ""+7"", ""con"": ""+8"", ""cha"": ""+8""}","{""perception"": ""+6"", ""persuasion"": ""+8""}",16,"[""Infernal; telepathy 120 ft.""]",12,"[{""name"": ""Diabolical Restoration"", ""entries"": [""If the erinyes dies outside the Nine Hells, its body disappears in sulfurous smoke, and it gains a new body instantly, reviving with all its {@variantrule Hit Points|XPHB} somewhere in the Nine Hells.""]}, {""name"": ""Magic Resistance"", ""entries"": [""The erinyes has {@variantrule Advantage|XPHB} on saving throws against spells and other magical effects.""]}, {""name"": ""Magic Rope"", ""entries"": [""The erinyes has a magic rope. While bearing it, the erinyes can use the Entangling Rope action. The rope has AC 20, HP 90, and {@variantrule Immunity|XPHB} to Poison and Psychic damage. The rope turns to dust if reduced to 0 {@variantrule Hit Points|XPHB}, if it is 5+ feet away from the erinyes for 1 hour or more, or if the erinyes dies. If the rope is damaged or destroyed, the erinyes can fully restore it when finishing a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The erinyes makes three Withering Sword attacks and can use Entangling Rope.""]}, {""name"": ""Withering Sword"", ""entries"": [""{@atkr m} {@hit 8}, reach 5 ft. {@h}13 ({@damage 2d8 + 4}) Slashing damage plus 11 ({@damage 2d10}) Necrotic damage.""]}, {""name"": ""Entangling Rope (Requires Magic Rope)"", ""entries"": [""{@actSave str} {@dc 16}, one creature the erinyes can see within 120 feet. {@actSaveFail} 14 ({@damage 4d6}) Force damage, and the target has the {@condition Restrained|XPHB} condition until the rope is destroyed, the erinyes uses a {@variantrule Bonus Action|XPHB} to release the target, or the erinyes uses Entangling Rope again.""]}]",,"[{""name"": ""Parry"", ""entries"": [""{@actTrigger} The erinyes is hit by a melee attack roll while holding a weapon. {@actResponse} The erinyes adds 4 to its AC against that attack, possibly causing it to miss.""]}]",,
